,x,y,z,gx,gy,gz
0,0.01708984375,-0.0322265625,1.00830078125,0.0,0.0,0.0
1,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
2,0.01708984375,-0.0322265625,1.0078125,0.0,0.0,0.0
3,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
4,0.017578125,-0.03271484375,1.0078125,0.0,0.0,0.0
5,0.01708984375,-0.03173828125,1.00732421875,0.0,0.0,0.0
6,0.017578125,-0.03173828125,1.0078125,0.0,0.0,0.0
7,0.017578125,-0.0322265625,1.00830078125,0.0,0.0,0.0
8,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
9,0.01708984375,-0.03125,1.00830078125,0.0,0.0,0.0
10,0.01708984375,-0.03173828125,1.00830078125,0.0,0.0,0.0
11,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
12,0.0166015625,-0.03173828125,1.00830078125,0.0,0.0,0.0
13,0.01708984375,-0.03173828125,1.00732421875,0.0,0.0,0.0
14,0.017578125,-0.03173828125,1.0078125,0.0,0.0,0.0
15,0.01708984375,-0.03125,1.0078125,0.0,0.0,0.0
16,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
17,0.01708984375,-0.03173828125,1.00830078125,0.0,0.0,0.0
18,0.01708984375,-0.03271484375,1.0078125,0.0,0.0,0.0
19,0.017578125,-0.03173828125,1.00732421875,0.0,0.0,0.0
20,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
21,0.01708984375,-0.03173828125,1.0078125,0.0,0.0,0.0
22,0.017578125,-0.03173828125,1.0078125,0.0,0.0,0.0
23,0.01708984375,-0.03173828125,1.00732421875,0.0,0.0,0.0
24,0.01708984375,-0.0322265625,1.0078125,0.0,0.0,0.0
25,0.01708984375,-0.03173828125,1.00830078125,0.0,0.0,0.0
26,0.017578125,-0.0322265625,1.0078125,0.0,0.0,0.0
27,0.0166015625,-0.03173828125,1.0078125,0.0,0.0,0.0
28,0.01806640625,-0.03173828125,1.0078125,0.0,0.0,0.0
29,0.017578125,-0.0322265625,1.00830078125,0.0,0.0,0.0
30,0.017578125,-0.0322265625,1.00830078125,0.0,0.0,0.0
31,0.01708984375,-0.0322265625,1.0078125,0.0,0.0,0.0
32,0.01708984375,-0.0322265625,1.0078125,0.0,0.0,0.0
33,0.017578125,-0.0322265625,1.0078125,0.0,0.0,0.0
34,0.017578125,-0.0322265625,1.0078125,0.0,0.0,0.0
